,id,owner,pool,token0,token1,tickLower,tickUpper,liquidity,collectedFeesToken0,collectedFeesToken1,transaction,feeGrowthInside0LastX128,feeGrowthInside1LastX128
0,539206,0x9abc68b33961268a3ea4116214d7039226de01e1,{'id': '0x07a72f8f6a29cf501e7226ca82264f9ee79380e7'},"{'symbol': 'USDC', 'volume': '13331621732191.842597703044019091'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '-230200'},{'tickIdx': '-230000'},100858313396150443137247817,0,0,{'id': '0x493697d82ed9261abd9c728d4296046097a8f27492c9f0c5ddb795982d6a18d7'},0,346637978145624552204273733235
1,539205,0x9abc68b33961268a3ea4116214d7039226de01e1,{'id': '0x07a72f8f6a29cf501e7226ca82264f9ee79380e7'},"{'symbol': 'USDC', 'volume': '13331621732191.842597703044019091'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '-230200'},{'tickIdx': '-230000'},100858313396150443137247817,0,0,{'id': '0x493697d82ed9261abd9c728d4296046097a8f27492c9f0c5ddb795982d6a18d7'},0,346637978145624552204273733235
2,539208,0x9abc68b33961268a3ea4116214d7039226de01e1,{'id': '0x07a72f8f6a29cf501e7226ca82264f9ee79380e7'},"{'symbol': 'USDC', 'volume': '13331621732191.842597703044019091'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '-230000'},{'tickIdx': '-138000'},4095545091135202144793769,0,0,{'id': '0x493697d82ed9261abd9c728d4296046097a8f27492c9f0c5ddb795982d6a18d7'},2615842084849872665177190335741352693991303,1842236448835208886318506378194011
3,539207,0x9abc68b33961268a3ea4116214d7039226de01e1,{'id': '0x07a72f8f6a29cf501e7226ca82264f9ee79380e7'},"{'symbol': 'USDC', 'volume': '13331621732191.842597703044019091'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '-230000'},{'tickIdx': '-138000'},4095545091135202144793769,0,0,{'id': '0x493697d82ed9261abd9c728d4296046097a8f27492c9f0c5ddb795982d6a18d7'},2615842084849872665177190335741352693991303,1842236448835208886318506378194011
4,358152,0x7055b17a1b911b6b971172c01ff0cc27881aea94,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947034978.067244'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '206010'},{'tickIdx': '206020'},32527688938829327804,0,0,{'id': '0xda8757d690e292a7a447b5affd046d2b0d5cde271a0fec10f59936f6770e28f3'},96646128684868489595548782114123,91301789769352304909001893044116391063493
5,422127,0x9736ec6000255d969f3fff6c5b129f26e0950c69,{'id': '0x11c990d06df093fb7361356b16985051a65ebe2e'},"{'symbol': 'USDC', 'volume': '1'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '202400'},{'tickIdx': '202600'},24947767430131926698,0,0,{'id': '0xb7c958c89b16dcf89134800ff0ef4e385eac1db1827faee10e7b0c143a8d6855'},0,0
6,303700,0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947034978.067244'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '202650'},{'tickIdx': '202660'},17099865365991617615,0,0,{'id': '0xd441324d76b84d6acc51e084c64dc1621f34dc99eb77e1f7546d9e7d5401e9e1'},31308615364586525217480375410769,20883855909254155106808656806294573970389
7,479478,0xaa6a4e4b1c2699ae183637879270b930c5fce885,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947034978.067244'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '201420'},{'tickIdx': '201430'},11584187635930792959,0,0,{'id': '0xc9f3736c428dd4c006f5d8366c1466c30a6f14bd5d18dcafd4e6c1429b124a9b'},115792089237316195423570985008687907853269984658714963167035257277594672026326,115792089237316195423570985008687907849274296062632802787680024240556353101613
8,563104,0xdb6e45aefcd10a9761d4721eed2f5ecc685696b0,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947034978.067244'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '201840'},{'tickIdx': '203850'},9152218149681235408,0,0,{'id': '0x88d01b2822180c6d0c0e001ad2a6d7c31e80bd8ea9bbec5719b7278cc21dd817'},443555525912474775925865308541518,309567080626586183110105042864885738020796
9,575340,0x6f13724e353ed34e299029b11e28ba2ea18f87e9,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947034978.067244'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '202380'},{'tickIdx': '202390'},7458967653074605325,0,0,{'id': '0x61b92f5acf579b3c15dbca397ca8aaced1985db808bd0b52254aed91a6ab6b49'},115792089237316195423570985008687907853269984634481417441194316935121275918133,115792089237316195423570985008687907832367721819154948502877860058236110575238
10,517997,0x3c21f1a9daed29d769e81e3e6148b09a336e8b87,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947034978.067244'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '199380'},{'tickIdx': '200860'},6563766704006594742,0,0,{'id': '0x67c00c8e3d6c6b2557840f8204ebd945e2d6f30b4858652dd9372575101a432b'},232776738511003818728191368180770,117454237917336963581955378080384412975883
11,304677,0x32d2d8a08e29668492724b83d81c750123b6b905,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947034978.067244'}","{'symbol': 'WETH', 'volume': '388776843.638539627015380209'}",{'tickIdx': '202780'},{'tickIdx': '202810'},5783963428322471324,0,0,{'id': '0x6fdcbb5e3abe4efb25531ee9ca4e73e2231127108c97171095cb53d252afa770'},14344894003494239144286648934236,9265625005351396415857605958171570675508
