,id
0,10001
1,100018
2,100030
3,100033
4,100046
5,100055
6,100059
7,100069
8,100088
9,100092
10,100093
11,100096
12,100102
13,100108
14,100123
15,100144
16,100146
17,100153
18,100159
19,100161
20,100163
21,100169
22,100170
23,100175
24,100191
25,100205
26,100207
27,100209
28,100211
29,100218
30,100220
31,100227
32,10023
33,100233
34,100238
35,100251
36,100258
37,100263
38,100268
39,100271
40,100280
41,10029
42,100294
43,100297
44,100305
45,100307
46,100311
47,100313
48,100321
49,100322
50,100325
51,100327
52,100330
53,100341
54,100346
55,100349
56,100352
57,100358
58,100368
59,100372
60,100373
61,100376
62,100378
63,10038
64,100382
65,100389
66,100392
67,100395
68,100403
69,100404
70,100416
71,100417
72,100418
73,100419
74,10042
75,100421
76,100424
77,100430
78,100432
79,100442
80,100446
81,100449
82,100450
83,100459
84,100461
85,100462
86,100468
87,100469
88,100473
89,100489
90,10049
91,100493
92,100501
93,100523
94,100526
95,100528
96,100530
97,100537
98,100544
99,100548
0,100093
1,100096
2,100102
3,100108
4,100123
5,100144
6,100146
7,100153
8,100159
9,100161
10,100163
11,100169
12,100170
13,100175
14,100191
15,100205
16,100207
17,100209
18,100211
19,100218
20,100220
21,100227
22,10023
23,100233
24,100238
25,100251
26,100258
27,100263
28,100268
29,100271
30,100280
31,10029
32,100294
33,100297
34,100305
35,100307
36,100311
37,100313
38,100321
39,100322
40,100325
41,100327
42,100330
43,100341
44,100346
45,100349
46,100352
47,100358
48,100368
49,100372
50,100373
51,100376
52,100378
53,10038
54,100382
55,100389
56,100392
57,100395
58,100403
59,100404
60,100416
61,100417
62,100418
63,100419
64,10042
65,100421
66,100424
67,100430
68,100432
69,100442
70,100446
71,100449
72,100450
73,100459
74,100461
75,100462
76,100468
77,100469
78,100473
79,100489
80,10049
81,100493
82,100501
83,100523
84,100526
85,100528
86,100530
87,100537
88,100544
89,100548
90,100556
91,100557
92,100560
93,100563
94,100565
95,100570
96,100571
97,100577
98,100582
99,100587
0,100163
1,100169
2,100170
3,100175
4,100191
5,100205
6,100207
7,100209
8,100211
9,100218
10,100220
11,100227
12,10023
13,100233
14,100238
15,100251
16,100258
17,100263
18,100268
19,100271
20,100280
21,10029
22,100294
23,100297
24,100305
25,100307
26,100311
27,100313
28,100321
29,100322
30,100325
31,100327
32,100330
33,100341
34,100346
35,100349
36,100352
37,100358
38,100368
39,100372
40,100373
41,100376
42,100378
43,10038
44,100382
45,100389
46,100392
47,100395
48,100403
49,100404
50,100416
51,100417
52,100418
53,100419
54,10042
55,100421
56,100424
57,100430
58,100432
59,100442
60,100446
61,100449
62,100450
63,100459
64,100461
65,100462
66,100468
67,100469
68,100473
69,100489
70,10049
71,100493
72,100501
73,100523
74,100526
75,100528
76,100530
77,100537
78,100544
79,100548
80,100556
81,100557
82,100560
83,100563
84,100565
85,100570
86,100571
87,100577
88,100582
89,100587
90,100591
91,100595
92,100597
93,100602
94,100604
95,100609
96,100615
97,100616
98,100620
99,100622
0,100220
1,100227
2,10023
3,100233
4,100238
5,100251
6,100258
7,100263
8,100268
9,100271
10,100280
11,10029
12,100294
13,100297
14,100305
15,100307
16,100311
17,100313
18,100321
19,100322
20,100325
21,100327
22,100330
23,100341
24,100346
25,100349
26,100352
27,100358
28,100368
29,100372
30,100373
31,100376
32,100378
33,10038
34,100382
35,100389
36,100392
37,100395
38,100403
39,100404
40,100416
41,100417
42,100418
43,100419
44,10042
45,100421
46,100424
47,100430
48,100432
49,100442
50,100446
51,100449
52,100450
53,100459
54,100461
55,100462
56,100468
57,100469
58,100473
59,100489
60,10049
61,100493
62,100501
63,100523
64,100526
65,100528
66,100530
67,100537
68,100544
69,100548
70,100556
71,100557
72,100560
73,100563
74,100565
75,100570
76,100571
77,100577
78,100582
79,100587
80,100591
81,100595
82,100597
83,100602
84,100604
85,100609
86,100615
87,100616
88,100620
89,100622
90,100623
91,100638
92,100639
93,100640
94,100641
95,100646
96,100647
97,100648
98,100649
99,100651
0,100280
1,10029
2,100294
3,100297
4,100305
5,100307
6,100311
7,100313
8,100321
9,100322
10,100325
11,100327
12,100330
13,100341
14,100346
15,100349
16,100352
17,100358
18,100368
19,100372
20,100373
21,100376
22,100378
23,10038
24,100382
25,100389
26,100392
27,100395
28,100403
29,100404
