,pool_block,pool_timestamp,adjusted_current_price,current_tick,tick_lower,tick_upper,adjusted_amount0,token0,adjusted_amount1,token1,alpha
10001,12369811,1620158865,0.0006423128110389168,202816,193200,194400,0.0,USDC,0.0009999999999984537,WETH,6.423128110379236e-07
100018,12376729,1620250931,0.0006419275582020223,202810,199140,199360,0.0,USDC,0.0,WETH,0.0
100030,12370624,1620169800,0.0006431483188810073,202829,197640,199800,0.0,USDC,0.0,WETH,0.0
100033,12370624,1620169800,0.0006431483188810073,202829,197880,201120,0.0,USDC,0.0,WETH,0.0
100046,12370624,1620169800,0.0006431483188810073,202829,197640,199800,0.0,USDC,0.0,WETH,0.0
100055,12376729,1620250931,0.0006419275582020223,202810,198390,198690,0.0,USDC,0.0,WETH,0.0
100059,12376729,1620250931,0.0006419275582020223,202810,197690,198910,0.0,USDC,0.0,WETH,0.0
100069,12370624,1620169800,0.0006431483188810073,202829,198720,200160,0.0,USDC,0.0,WETH,0.0
100088,12370624,1620169800,0.0006431483188810073,202829,198720,199320,0.0,USDC,0.0,WETH,0.0
100092,12370624,1620169800,0.0006431483188810073,202829,198060,199380,0.0,USDC,0.0,WETH,0.0
100093,12376729,1620250931,0.0006419275582020223,202810,195660,200310,0.0,USDC,0.0,WETH,0.0
100096,12370624,1620169800,0.0006431483188810073,202829,198060,199440,0.0,USDC,0.0,WETH,0.0
100102,12376729,1620250931,0.0006419275582020223,202810,198350,199090,0.0,USDC,0.0,WETH,0.0
100108,12370624,1620169800,0.0006431483188810073,202829,191520,205020,0.0,USDC,0.0,WETH,0.0
100123,12376729,1620250931,0.0006419275582020223,202810,198470,199030,0.0,USDC,0.0,WETH,0.0
100144,12370624,1620169800,0.0006431483188810073,202829,197340,198960,0.0,USDC,0.0,WETH,0.0
100146,12370624,1620169800,0.0006431483188810073,202829,191820,205680,0.0,USDC,0.0,WETH,0.0
100153,12370624,1620169800,0.0006431483188810073,202829,196260,198720,0.0,USDC,0.0,WETH,0.0
100159,12370624,1620169800,0.0006431483188810073,202829,197340,199380,0.0,USDC,0.0,WETH,0.0
100161,12370624,1620169800,0.0006431483188810073,202829,190200,209760,0.0,USDC,0.0,WETH,0.0
100163,12370624,1620169800,0.0006431483188810073,202829,191760,205620,0.0,USDC,0.0,WETH,0.0
100169,12370624,1620169800,0.0006431483188810073,202829,198720,199200,0.0,USDC,0.0,WETH,0.0
100170,12370624,1620169800,0.0006431483188810073,202829,191820,205680,0.0,USDC,0.0,WETH,0.0
100175,12370624,1620169800,0.0006431483188810073,202829,198600,198780,0.0,USDC,0.0,WETH,0.0
100191,12370624,1620169800,0.0006431483188810073,202829,191160,206160,0.0,USDC,0.0,WETH,0.0
100205,12370624,1620169800,0.0006431483188810073,202829,196620,201480,0.0,USDC,0.0,WETH,0.0
100207,12370624,1620169800,0.0006431483188810073,202829,170340,211500,0.0,USDC,0.0,WETH,0.0
100209,12370624,1620169800,0.0006431483188810073,202829,191820,205680,3.687094359854163,USDC,0.007556409097544331,WETH,3.6870992197459707
100211,12370624,1620169800,0.0006431483188810073,202829,197280,198480,0.0,USDC,0.0,WETH,0.0
100218,12370624,1620169800,0.0006431483188810073,202829,198420,199020,0.0,USDC,0.0,WETH,0.0
100220,12370624,1620169800,0.0006431483188810073,202829,198360,200760,0.0,USDC,0.0,WETH,0.0
100227,12376729,1620250931,0.0006418633718648359,202809,198740,198760,0.0,USDC,0.0,WETH,0.0
10023,12370624,1620169800,0.0006431483188810073,202829,138180,207240,3.0860535589269023,USDC,0.009633294309345317,WETH,3.0860597545639425
100233,12370624,1620169800,0.0006431483188810073,202829,193860,204420,0.0,USDC,0.0,WETH,0.0
100238,12370624,1620169800,0.0006431483188810073,202829,191820,205680,0.0,USDC,0.0,WETH,0.0
100251,12370624,1620169800,0.0006431483188810073,202829,195000,202560,0.0,USDC,0.0,WETH,0.0
100258,12370624,1620169800,0.0006431483188810073,202829,191820,205680,18.43490263395363,USDC,0.0377808790282929,WETH,18.434926932662464
100263,12376729,1620250931,0.0006418633718648359,202809,198710,198720,0.0,USDC,0.0,WETH,0.0
100268,12370624,1620169800,0.0006431483188810073,202829,197280,200040,0.0,USDC,0.0,WETH,0.0
100271,12369811,1620158865,0.0006423128110389168,202816,196000,201200,0.0,USDC,0.0,WETH,0.0
100280,12376729,1620250931,0.0006418633718648359,202809,196770,200560,0.0,USDC,0.0,WETH,0.0
10029,12370624,1620169800,0.0006431483188810073,202829,194160,195300,0.0,USDC,0.0,WETH,0.0
100294,12370624,1620169800,0.0006431483188810073,202829,191700,199200,0.0,USDC,0.0,WETH,0.0
100297,12376729,1620250931,0.0006418633718648359,202809,198610,198620,0.0,USDC,0.0,WETH,0.0
100305,12370624,1620169800,0.0006431483188810073,202829,193620,203040,0.0,USDC,0.0,WETH,0.0
100307,12376729,1620250931,0.0006418633718648359,202809,198550,198560,0.0,USDC,0.0,WETH,0.0
100311,12376729,1620250931,0.0006418633718648359,202809,198250,198480,0.0,USDC,0.0,WETH,0.0
100313,12370624,1620169800,0.0006431483188810073,202829,191580,205440,0.0,USDC,0.0,WETH,0.0
100321,12376729,1620250931,0.0006418633718648359,202809,198440,198460,0.0,USDC,0.015213468155653971,WETH,9.764967968146365e-06
100322,12370624,1620169800,0.0006431483188810073,202829,193980,202860,0.0,USDC,0.0,WETH,0.0
100325,12376729,1620250931,0.0006418633718648359,202809,197110,200060,0.0,USDC,0.0,WETH,0.0
100327,12370624,1620169800,0.0006431483188810073,202829,198420,198480,0.0,USDC,0.0,WETH,0.0
100330,12376729,1620250931,0.0006418633718648359,202809,198390,198400,0.0,USDC,0.0,WETH,0.0
100341,12376729,1620250931,0.0006418633718648359,202809,197950,198770,0.0,USDC,0.0,WETH,0.0
100346,12376729,1620250931,0.0006418633718648359,202809,196260,200310,0.0,USDC,0.0,WETH,0.0
100349,12376729,1620250931,0.0006418633718648359,202809,196630,200100,0.0,USDC,0.0,WETH,0.0
100352,12369811,1620158865,0.0006423128110389168,202816,198200,198800,0.0,USDC,0.0,WETH,0.0
100358,12376729,1620250931,0.0006418633718648359,202809,198240,198250,0.0,USDC,0.0,WETH,0.0
100368,12376729,1620250931,0.0006418633718648359,202809,198270,198280,0.0,USDC,0.0,WETH,0.0
100372,12370624,1620169800,0.0006431483188810073,202829,198000,198480,0.0,USDC,0.0,WETH,0.0
100373,12376729,1620250931,0.0006418633718648359,202809,198340,198350,0.0,USDC,0.0,WETH,0.0
100376,12370624,1620169800,0.0006431483188810073,202829,192060,201660,0.0,USDC,0.0,WETH,0.0
100378,12370624,1620169800,0.0006431483188810073,202829,195300,202800,0.0,USDC,0.0,WETH,0.0
10038,12370624,1620169800,0.0006431483188810073,202829,194400,194880,0.0,USDC,0.0,WETH,0.0
100382,12376729,1620250931,0.0006418633718648359,202809,195550,201320,0.0,USDC,0.0,WETH,0.0
100389,12370624,1620169800,0.0006431483188810073,202829,197760,199200,0.0,USDC,0.0,WETH,0.0
100392,12370624,1620169800,0.0006431483188810073,202829,196200,199500,0.0,USDC,0.0,WETH,0.0
100395,12376729,1620250931,0.0006418633718648359,202809,198200,198210,0.0,USDC,0.0,WETH,0.0
100403,12370624,1620169800,0.0006431483188810073,202829,198360,198420,0.0,USDC,0.0,WETH,0.0
100404,12370624,1620169800,0.0006431483188810073,202829,197400,199320,0.0,USDC,0.0,WETH,0.0
100416,12370624,1620169800,0.0006431483188810073,202829,196260,198900,0.0,USDC,0.0,WETH,0.0
100417,12370624,1620169800,0.0006431483188810073,202829,198300,198360,0.0,USDC,0.0,WETH,0.0
100418,12376729,1620250931,0.0006414142471723716,202802,198320,198370,0.0,USDC,0.0,WETH,0.0
100419,12370624,1620169800,0.0006431483188810073,202829,192060,204960,0.0,USDC,0.0,WETH,0.0
10042,12369811,1620158865,0.0006423128110389168,202816,194400,194800,0.0,USDC,0.000877095195311404,WETH,5.633694804491957e-07
100421,12370624,1620169800,0.0006431483188810073,202829,191340,205200,0.0,USDC,0.0,WETH,0.0
100424,12376729,1620250931,0.0006414142471723716,202802,197540,198720,0.0,USDC,0.0,WETH,0.0
100430,12370624,1620169800,0.0006431483188810073,202829,197520,199200,0.0,USDC,0.0,WETH,0.0
100432,12376729,1620250931,0.0006414142471723716,202802,198320,198340,0.0,USDC,0.023243373537924154,WETH,1.4908630939573845e-05
100442,12370624,1620169800,0.0006431483188810073,202829,197520,198960,0.0,USDC,0.0,WETH,0.0
100446,12376729,1620250931,0.0006414142471723716,202802,198190,198230,0.0,USDC,0.017095523586178486,WETH,1.0965312391046197e-05
100449,12376729,1620250931,0.0006414142471723716,202802,197870,198760,0.0,USDC,0.023193132990532692,WETH,1.4876405936691223e-05
100450,12370624,1620169800,0.0006431483188810073,202829,198300,198360,0.0,USDC,0.0,WETH,0.0
100459,12370624,1620169800,0.0006431483188810073,202829,198300,199080,0.0,USDC,0.0,WETH,0.0
