,id,owner,pool,token0,token1,tickLower,tickUpper,liquidity,depositedToken0,depositedToken1,withdrawnToken0,withdrawnToken1,collectedFeesToken0,collectedFeesToken1,transaction,feeGrowthInside0LastX128,feeGrowthInside1LastX128
0,114444,0xabb9d90f78b55013c5cea9e91c9419ddff4fc0ac,{'id': '0xecdcb160c0fa92ee6430972b8e918c1b073e3b2e'},{'id': '0x7b93af056ecac7ba97a5f669cf127f9257e48b1e'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0xecdcb160c0fa92ee6430972b8e918c1b073e3b2e#0'},{'id': '0xecdcb160c0fa92ee6430972b8e918c1b073e3b2e#46000'},11114450057194205771809438988582841,10000000000000000.0000000000000001,0,0,0,0,0,"{'id': '0xb1980e16d55c2036cdb25eb52b667a5c594c5258f56bce240fa9063583a0f08d', 'timestamp': '1629428977'}",0,0
1,40589,0x7d5f6049014e67f16c16335374d65370fcba34e1,{'id': '0x79c9946b4cb90bd21fbe330110f5658f9d35cbef'},{'id': '0x926a2494acba43fcc2442fda80a1cbaf99ed1444'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0x79c9946b4cb90bd21fbe330110f5658f9d35cbef#70200'},{'id': '0x79c9946b4cb90bd21fbe330110f5658f9d35cbef#74460'},10459723782139312351123351992955751,59999996500596.466897904020453762,0,0,0,0,0,"{'id': '0x8e770f40fba7bf53b252f4c9765082835197ca54c0cd460434720bed6ea572d4', 'timestamp': '1623174777'}",0,0
2,551739,0x3682d5283c21d90054dc49c60ab2aa948eaa849b,{'id': '0xc1861afd566d5edf42bb78b336aeea83c9b62760'},{'id': '0x4a19390dd659e7170fd05e0bac3c1376e4a5b059'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0xc1861afd566d5edf42bb78b336aeea83c9b62760#225960'},{'id': '0xc1861afd566d5edf42bb78b336aeea83c9b62760#227940'},8951206311127302358942437314972130,10465551728.028580546772638937,0,0,0,0,0,"{'id': '0x20a5874e025b1e90939465a2b5125bc89412750b79cd330267eb3796a2c38335', 'timestamp': '1692257087'}",0,0
3,576535,0x963421f73934baa6a76ce6f914afe328f1dc3ff1,{'id': '0x7054c81f7f8e9c52a49c9e335683fd6f4eb69feb'},{'id': '0xae1ff03aefa5af236ed6a71fc68e234d1667a11e'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0x7054c81f7f8e9c52a49c9e335683fd6f4eb69feb#840000'},{'id': '0x7054c81f7f8e9c52a49c9e335683fd6f4eb69feb#852000'},8815720050517433226982006513927604,2291625,0,0,0,0,0,"{'id': '0xcf710190d7dfa9b8b0afd99bd0921370a8ce74e9e86d1a1740a29d00daf1005e', 'timestamp': '1696776491'}",0,0
4,551725,0x3682d5283c21d90054dc49c60ab2aa948eaa849b,{'id': '0xc1861afd566d5edf42bb78b336aeea83c9b62760'},{'id': '0x4a19390dd659e7170fd05e0bac3c1376e4a5b059'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0xc1861afd566d5edf42bb78b336aeea83c9b62760#226260'},{'id': '0xc1861afd566d5edf42bb78b336aeea83c9b62760#226680'},3670507295185597971712251784742383,932060184.466795906507594266,0,0,0,0,0,"{'id': '0xf272102f20725a0abbec998d17bbf1092928f70d356ff2c03036c9708a2d245b', 'timestamp': '1692255035'}",0,0
5,535817,0x30b2ce69b8169b6e480fd0ee734e8a454bc8efc2,{'id': '0x1cab519174bf5f4f02a86ab58400c25013c5f02b'},{'id': '0x04da1c21fc38b7165e7d0ac69e5296625fca3e54'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0x1cab519174bf5f4f02a86ab58400c25013c5f02b#-69060'},{'id': '0x1cab519174bf5f4f02a86ab58400c25013c5f02b#-69000'},3593244358397373658904939781161045,339999999999999.999999999997912003,0,0,0,0,0,"{'id': '0x96195799e989cdec9e5abc4ac181bf867610fc942e2995d086fd0fa744a2bd3e', 'timestamp': '1688988155'}",0,0
6,517733,0x1012324537678ad4afccb99f08d92e151396830e,{'id': '0xc58da8c0c8c4bca1ace15ecdcee701bacf50e543'},{'id': '0xb877ce82b18de1666c55ddbdc948bf455b132a3f'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0xc58da8c0c8c4bca1ace15ecdcee701bacf50e543#-59280'},{'id': '0xc58da8c0c8c4bca1ace15ecdcee701bacf50e543#-56160'},3573926888131506318198357818074755,9999999999999998.999999999977559787,0,0,0,0,0,"{'id': '0x16ac8a02e019fe2776875eeef4241aa7406a20a850a071ea417e265bb6238380', 'timestamp': '1685708135'}",0,0
7,511544,0xe03c726340ccb2fbbaf6ca91533ab64e64fb9d4a,{'id': '0x053ab56ec49b4f3f79fb5ce71fab23300fcee9fd'},{'id': '0xa333c0006ac21f0d934e9daaf3d5c61dc2fa1f3f'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0x053ab56ec49b4f3f79fb5ce71fab23300fcee9fd#-236160'},{'id': '0x053ab56ec49b4f3f79fb5ce71fab23300fcee9fd#-230160'},2445116058008353907918663620349506,340281366920938463433.7274003850656,0,255211025190695762326.2303573678479,0.000448650027754418,0,0,"{'id': '0x41290644a0b47827fb2bb7095a1a69d16ece1e9d3ae1ed20294bf5586a56c03d', 'timestamp': '1684860551'}",375069792677242429882218300200,20875227934956716117
8,41261,0xbd2f670afcaf98b939203173a4370d71c75963f8,{'id': '0x000f0c0b0b791e855dcc5ad6501c7529dea882e0'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0xd1063ee5ec2891991a29fefb52bcc448cd386844'},{'id': '0x000f0c0b0b791e855dcc5ad6501c7529dea882e0#-184200'},{'id': '0x000f0c0b0b791e855dcc5ad6501c7529dea882e0#-183240'},2032209333937888030579013479745504,0,10000000000,0,0,0,0,"{'id': '0xca40c78f8951b97d9f7a5e6eb3d91f30fb4523d1059fc9cc46eac136a54c6a00', 'timestamp': '1623227385'}",0,0
9,65266,0x0797a0bd634e0949be80d49b4bc3e7225f02d747,{'id': '0x68f5d4009f9001c8d00ced56c1e90702c998cc95'},{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'},{'id': '0xdba6c02329d5f84856b32f401d4c5e3009e75eb3'},{'id': '0x68f5d4009f9001c8d00ced56c1e90702c998cc95#51150'},{'id': '0x68f5d4009f9001c8d00ced56c1e90702c998cc95#51180'},1907855112094752544864253485599904,0,36948200048614,0,0,0,0,"{'id': '0x6bf4d1b7c8fc2d2d8bba12b6e4fb351a6bb2eec905510fc9cecfe161387455f0', 'timestamp': '1624966287'}",0,0
